date,time,count
2021:03:17,00:38:57,2
2021:03:17,00:39:00,1
2021:03:17,00:39:19,1
2021:03:17,00:39:31,2
2021:03:17,00:39:35,0
2021:03:17,00:39:42,0
2021:03:17,00:39:45,0
2021:03:19,23:39:21,17
2021:03:19,23:39:53,3
2021:03:19,23:40:38,3
2021:03:19,23:40:49,0
2021:03:19,23:41:19,2
2021:03:19,23:41:28,0
2021:03:19,23:42:11,4
2021:03:19,23:42:23,1
2021:03:19,23:42:59,5
2021:03:19,23:59:36,17
2021:03:19,23:59:44,0
2021:03:20,00:01:16,4
2021:03:20,00:02:48,5
2021:03:20,00:08:45,17
2021:03:20,00:09:11,1
2021:03:20,00:10:25,4
2021:03:20,00:10:41,1
2021:03:20,00:10:44,0
2021:03:20,00:11:26,2
2021:03:20,00:12:26,7
2021:03:20,00:12:39,2
2021:03:20,00:15:54,17
2021:03:20,00:16:14,1
2021:03:20,00:16:53,3
2021:03:20,00:17:08,1
2021:03:20,00:17:49,1
2021:03:20,00:17:50,0
2021:03:20,00:17:59,1
2021:03:20,00:18:08,0
2021:03:20,00:18:23,0
2021:03:20,01:04:03,21
2021:03:20,01:04:20,0
2021:03:20,01:04:31,1
2021:03:20,01:05:21,3
2021:03:20,01:06:21,8
2021:03:20,01:09:31,17
2021:03:20,01:09:33,0
2021:03:20,01:09:43,0
2021:03:20,01:10:26,2
2021:03:20,01:11:16,3
2021:03:20,01:11:35,1
2021:03:20,01:11:38,0
2021:03:20,01:13:38,11
2021:03:20,01:37:47,19
2021:03:20,01:37:50,0
2021:03:20,01:38:15,2
2021:03:20,01:39:46,2
2021:03:20,01:40:03,2
2021:03:20,01:40:08,1
2021:03:20,01:41:11,7
2021:03:20,01:41:19,0
2021:03:20,13:16:15,21
2021:03:20,13:16:18,0
2021:03:20,13:16:34,1
2021:03:20,13:17:17,2
2021:03:20,13:17:48,2
2021:03:20,13:18:26,5
2021:03:20,13:18:50,3
2021:03:20,13:36:24,21
2021:03:20,13:37:01,0
2021:03:20,13:37:04,1
2021:03:20,13:37:33,1
2021:03:20,13:37:36,0
2021:03:20,13:38:13,4
2021:03:20,13:38:17,0
2021:03:20,13:41:10,17
2021:03:20,13:42:23,3
2021:03:20,13:43:54,3
2021:03:20,13:44:57,2
2021:03:20,13:44:57,0
2021:03:20,13:45:38,3
2021:03:21,16:24:03,17
2021:03:21,16:24:11,0
2021:03:21,16:24:20,0
2021:03:21,16:24:43,1
2021:03:21,16:25:06,1
2021:03:21,16:25:18,2
2021:03:21,16:25:30,0
2021:03:21,16:26:00,0
2021:03:21,16:26:29,2
2021:03:21,16:27:02,3
2021:03:21,16:27:05,0
2021:03:21,16:27:24,2
2021:03:21,16:27:55,3
